api_number,month,oil,gas,water,serialid,operator_name,well_name,latitude,longitude,status,parent,cik,serialid,county,color
100001,1/1/2012,52,0,465,725645,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,2/1/2012,63,0,435,725646,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,3/1/2012,56,0,465,725647,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,4/1/2012,52,0,450,725648,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,5/1/2012,0,0,0,725649,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,6/1/2012,0,0,0,725650,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,7/1/2012,0,0,0,725651,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,8/1/2012,0,0,0,725652,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,9/1/2012,0,0,0,725653,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,10/1/2012,0,0,0,725654,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,11/1/2012,0,0,0,725655,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
100001,12/1/2012,0,0,0,725656,E & B Natural Res. Mgmt. Corp.,Greenville Investment Group 1,37.41374676,-121.4118816,I,DEVON ENERGY,,60557,Alameda,#808080
1120752,1/1/2012,0,0,0,445177,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,2/1/2012,0,0,0,445178,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,3/1/2012,0,0,0,445179,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,4/1/2012,0,0,0,445180,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,5/1/2012,0,0,0,445181,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,6/1/2012,0,0,0,445182,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,7/1/2012,0,0,0,445183,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,8/1/2012,0,0,0,445184,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,9/1/2012,0,0,0,445185,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,10/1/2012,0,0,0,445186,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,11/1/2012,0,0,0,445187,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120752,12/1/2012,0,0,0,445188,Venoco Inc.,Grimes Operating Unit 7 13,39.45465639,-121.5427306,A,Venoco Inc,1313024,37111,Colusa,#808080
1120753,6/1/2012,0,0,0,445194,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,7/1/2012,0,0,0,445195,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,8/1/2012,0,0,0,445196,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,9/1/2012,0,0,0,445197,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,10/1/2012,0,0,0,445198,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,11/1/2012,0,0,0,445199,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120753,12/1/2012,0,0,0,445200,Venoco Inc.,Grimes Operating Unit 7 14,39.45477519,-121.5427587,A,Venoco Inc,1313024,37112,Colusa,#808080
1120754,6/1/2012,0,0,0,445206,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,7/1/2012,0,0,0,445207,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,8/1/2012,0,0,0,445208,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,9/1/2012,0,0,0,445209,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,10/1/2012,0,0,0,445210,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,11/1/2012,0,0,0,445211,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120754,12/1/2012,0,0,0,445212,Venoco Inc.,Grimes Operating Unit 7 11,39.42487359,-121.5414184,A,Venoco Inc,1313024,37113,Colusa,#808080
1120787,1/1/2012,0,95,1,446005,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#FF0000
1120787,2/1/2012,0,5507,3,446006,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#FF0000
1120787,3/1/2012,0,5443,0,446007,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#FF0000
1120787,4/1/2012,0,4413,7,446008,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#FF0000
1120787,5/1/2012,0,4030,4,446009,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#FF0000
1120787,6/1/2012,0,0,0,446010,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,7/1/2012,0,0,0,446011,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,8/1/2012,0,0,0,446012,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,9/1/2012,0,0,0,446013,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,10/1/2012,0,0,0,446014,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,11/1/2012,0,0,0,446015,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120787,12/1/2012,0,0,0,446016,Venoco Inc.,West Grimes Unit 15 13,39.41189199,-121.5732314,A,Venoco Inc,1313024,37180,Colusa,#808080
1120797,1/1/2012,0,0,0,445981,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,2/1/2012,0,0,0,445982,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,3/1/2012,0,0,0,445983,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,4/1/2012,0,0,0,445984,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,5/1/2012,0,0,0,445985,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,6/1/2012,0,0,0,445986,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,7/1/2012,0,0,0,445987,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,8/1/2012,0,0,0,445988,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,9/1/2012,0,0,0,445989,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,10/1/2012,0,0,0,445990,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,11/1/2012,0,0,0,445991,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120797,12/1/2012,0,0,0,445992,Venoco Inc.,West Grimes Unit 15 14,39.42967587,-121.5711297,A,Venoco Inc,1313024,37178,Colusa,#808080
1120802,6/1/2012,0,0,0,445938,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,7/1/2012,0,0,0,445939,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,8/1/2012,0,0,0,445940,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,9/1/2012,0,0,0,445941,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,10/1/2012,0,0,0,445942,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,11/1/2012,0,0,0,445943,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120802,12/1/2012,0,0,0,445944,Venoco Inc.,Harlan 1-24,39.24597799,-121.5543162,A,Venoco Inc,1313024,37174,Colusa,#808080
1120879,6/1/2012,0,0,0,444981,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,7/1/2012,0,0,0,444982,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,8/1/2012,0,0,0,444983,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,9/1/2012,0,0,0,444984,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,10/1/2012,0,0,0,444985,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,11/1/2012,0,0,0,444986,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120879,12/1/2012,0,0,0,444987,Foothill Energy LLC,JGJ Cecil 6-2,39.54351191,-121.5339995,A,DEVON ENERGY,,37093,Colusa,#808080
1120928,6/1/2012,0,0,0,446034,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,7/1/2012,0,0,0,446035,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,8/1/2012,0,0,0,446036,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,9/1/2012,0,0,0,446037,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,10/1/2012,0,0,0,446038,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,11/1/2012,0,0,0,446039,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120928,12/1/2012,0,0,0,446040,Venoco Inc.,Strain 2-1,39.0518868,-121.5558403,A,Venoco Inc,1313024,37182,Colusa,#808080
1120929,1/1/2012,0,0,0,446041,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,2/1/2012,0,0,0,446042,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,3/1/2012,0,0,0,446043,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,4/1/2012,0,0,0,446044,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,6/1/2012,0,0,0,446046,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,7/1/2012,0,0,0,446047,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,8/1/2012,0,0,0,446048,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,9/1/2012,0,0,0,446049,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,10/1/2012,0,0,0,446050,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,11/1/2012,0,0,0,446051,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120929,12/1/2012,0,0,0,446052,Venoco Inc.,Strain 13-1,38.58359037,-121.5533651,A,Venoco Inc,1313024,37183,Colusa,#808080
1120930,6/1/2012,0,0,0,446058,Venoco Inc.,Strain 35-2,39.05284584,-121.5558382,A,Venoco Inc,1313024,37184,Colusa,#808080
1120930,7/1/2012,0,0,0,446059,Venoco Inc.,Strain 35-2,39.05284584,-121.5558382,A,Venoco Inc,1313024,37184,Colusa,#808080
1120930,8/1/2012,0,0,0,446060,Venoco Inc.,Strain 35-2,39.05284584,-121.5558382,A,Venoco Inc,1313024,37184,Colusa,#808080
